"Fecha","Hora","PVPC","Dia"
"2014/04/18","6",40.09978756,"viernes"
"2014/04/18","7",37.53682756,"viernes"
"2014/04/18","8",39.43719024,"viernes"
"2014/04/18","9",37.81271024,"viernes"
"2014/04/18","10",39.05967024,"viernes"
"2014/04/18","11",42.11415024,"viernes"
"2014/04/18","12",41.82815024,"viernes"
"2014/04/18","13",44.76823024,"viernes"
"2014/04/18","14",112.89533208,"viernes"
"2014/04/18","15",111.10445208,"viernes"
"2014/04/18","16",109.33653208,"viernes"
"2014/04/18","17",107.92449208,"viernes"
"2014/04/18","18",107.47677208,"viernes"
"2014/04/18","19",104.27385208,"viernes"
"2014/04/18","20",103.29805208,"viernes"
"2014/04/18","21",108.54441208,"viernes"
"2014/04/18","22",117.55621208,"viernes"
"2014/04/18","23",118.10725208,"viernes"
"2014/04/18","24",45.60335024,"viernes"
"2014/04/19","1",41.53071024,"sábado"
"2014/04/19","2",37.93864756,"sábado"
"2014/04/19","3",35.37568756,"sábado"
"2014/04/19","4",34.11592756,"sábado"
"2014/04/19","5",34.08334756,"sábado"
"2014/04/19","6",33.10594756,"sábado"
"2014/04/19","7",34.86526756,"sábado"
"2014/04/19","8",42.32007024,"sábado"
"2014/04/19","9",41.10743024,"sábado"
"2014/04/19","10",44.66527024,"sábado"
"2014/04/19","11",49.83615024,"sábado"
"2014/04/19","12",49.85903024,"sábado"
"2014/04/19","13",50.41959024,"sábado"
"2014/04/19","14",119.06009208,"sábado"
"2014/04/19","15",119.03713208,"sábado"
"2014/04/19","16",115.24873208,"sábado"
"2014/04/19","17",112.81497208,"sábado"
"2014/04/19","18",110.95521208,"sábado"
"2014/04/19","19",110.72561208,"sábado"
"2014/04/19","20",105.78921208,"sábado"
"2014/04/19","21",107.83265208,"sábado"
"2014/04/19","22",115.68497208,"sábado"
"2014/04/19","23",112.40169208,"sábado"
"2014/04/19","24",39.65455024,"sábado"
"2014/04/20","1",33.13375024,"domingo"
"2014/04/20","2",26.83972756,"domingo"
"2014/04/20","3",25.67770756,"domingo"
"2014/04/20","4",26.37274756,"domingo"
"2014/04/20","5",25.17814756,"domingo"
"2014/04/20","6",25.29760756,"domingo"
"2014/04/20","7",27.51304756,"domingo"
"2014/04/20","8",34.55231024,"domingo"
"2014/04/20","9",33.24815024,"domingo"
"2014/04/20","10",35.07855024,"domingo"
"2014/04/20","11",36.78311024,"domingo"
"2014/04/20","12",38.35039024,"domingo"
"2014/04/20","13",36.07383024,"domingo"
"2014/04/20","14",104.42309208,"domingo"
"2014/04/20","15",103.18325208,"domingo"
"2014/04/20","16",100.42805208,"domingo"
"2014/04/20","17",100.53137208,"domingo"
"2014/04/20","18",100.97909208,"domingo"
"2014/04/20","19",105.06597208,"domingo"
"2014/04/20","20",106.03029208,"domingo"
"2014/04/20","21",111.89657208,"domingo"
"2014/04/20","22",121.94157208,"domingo"
"2014/04/20","23",122.90589208,"domingo"
"2014/04/20","24",50.84287024,"domingo"
"2014/04/21","1",49.20695024,"lunes"
"2014/04/21","2",45.60580756,"lunes"
"2014/04/21","3",43.59670756,"lunes"
"2014/04/21","4",42.61930756,"lunes"
"2014/04/21","5",39.41560756,"lunes"
"2014/04/21","6",42.44554756,"lunes"
"2014/04/21","7",44.69356756,"lunes"
"2014/04/21","8",51.24327024,"lunes"
"2014/04/21","9",52.43303024,"lunes"
"2014/04/21","10",55.67055024,"lunes"
"2014/04/21","11",56.66583024,"lunes"
"2014/04/21","12",54.66383024,"lunes"
"2014/04/21","13",55.05279024,"lunes"
"2014/04/21","14",124.27201208,"lunes"
"2014/04/21","15",121.50533208,"lunes"
"2014/04/21","16",117.84321208,"lunes"
"2014/04/21","17",115.46685208,"lunes"
"2014/04/21","18",114.19257208,"lunes"
"2014/04/21","19",113.51525208,"lunes"
"2014/04/21","20",115.15689208,"lunes"
"2014/04/21","21",119.96701208,"lunes"
"2014/04/21","22",136.77373208,"lunes"
"2014/04/21","23",131.99805208,"lunes"
"2014/04/21","24",49.83615024,"lunes"
"2014/04/22","1",44.49367024,"martes"
"2014/04/22","2",35.41912756,"martes"
"2014/04/22","3",35.34310756,"martes"
"2014/04/22","4",37.40650756,"martes"
"2014/04/22","5",35.72320756,"martes"
"2014/04/22","6",36.15760756,"martes"
"2014/04/22","7",43.18402756,"martes"
"2014/04/22","8",51.47207024,"martes"
"2014/04/22","9",59.25127024,"martes"
"2014/04/22","10",60.02919024,"martes"
"2014/04/22","11",59.05679024,"martes"
"2014/04/22","12",52.42159024,"martes"
"2014/04/22","13",51.11743024,"martes"
"2014/04/22","14",118.76161208,"martes"
"2014/04/22","15",115.59313208,"martes"
"2014/04/22","16",111.66697208,"martes"
"2014/04/22","17",109.14137208,"martes"
"2014/04/22","18",109.71537208,"martes"
"2014/04/22","19",107.80969208,"martes"
"2014/04/22","20",110.81745208,"martes"
"2014/04/22","21",118.89937208,"martes"
"2014/04/22","22",126.82057208,"martes"
"2014/04/22","23",118.35981208,"martes"
"2014/04/22","24",44.57375024,"martes"
"2014/04/23","1",48.54343024,"miércoles"
"2014/04/23","2",40.38214756,"miércoles"
"2014/04/23","3",39.94774756,"miércoles"
"2014/04/23","4",40.47988756,"miércoles"
"2014/04/23","5",40.65364756,"miércoles"
"2014/04/23","6",40.85998756,"miércoles"
"2014/04/23","7",49.03756756,"miércoles"
"2014/04/23","8",57.13487024,"miércoles"
"2014/04/23","9",59.73175024,"miércoles"
